register_number,name,gender,department_code,class_name,year,email,phone
24076,Anjali Nair,Female,BSC-CS,III B.Sc CS,3,anjali.nair24076@college.edu,9800024076
24077,Deepak Joshi,Male,BSC-CS,III B.Sc CS,3,deepak.joshi24077@college.edu,9800024077
24078,Swati Rao,Female,BSC-CS,III B.Sc CS,3,swati.rao24078@college.edu,9800024078
24079,Rajesh Choudhary,Male,BSC-CS,III B.Sc CS,3,rajesh.choudhary24079@college.edu,9800024079
24080,Lakshmi Verma,Female,BSC-CS,III B.Sc CS,3,lakshmi.verma24080@college.edu,9800024080
24081,Karthik Sharma,Male,BSC-CS,III B.Sc CS,3,karthik.sharma24081@college.edu,9800024081
24082,Harini Singh,Female,BSC-CS,III B.Sc CS,3,harini.singh24082@college.edu,9800024082
24083,Gokul Gupta,Male,BSC-CS,III B.Sc CS,3,gokul.gupta24083@college.edu,9800024083
24084,Nandini Mehta,Female,BSC-CS,III B.Sc CS,3,nandini.mehta24084@college.edu,9800024084
24085,Mohan Das,Male,BSC-CS,III B.Sc CS,3,mohan.das24085@college.edu,9800024085
24086,Swetha Malhotra,Female,BSC-CS,III B.Sc CS,3,swetha.malhotra24086@college.edu,9800024086
24087,Jagan Krishnan,Male,BSC-CS,III B.Sc CS,3,jagan.krishnan24087@college.edu,9800024087
24088,Keerthana Patel,Female,BSC-CS,III B.Sc CS,3,keerthana.patel24088@college.edu,9800024088
24089,Pranav Reddy,Male,BSC-CS,III B.Sc CS,3,pranav.reddy24089@college.edu,9800024089
24090,Sowmya Iyer,Female,BSC-CS,III B.Sc CS,3,sowmya.iyer24090@college.edu,9800024090
24091,Yash Pillai,Male,BSC-CS,III B.Sc CS,3,yash.pillai24091@college.edu,9800024091
24092,Tanvi Banerjee,Female,BSC-CS,III B.Sc CS,3,tanvi.banerjee24092@college.edu,9800024092
24093,Ayaan Agarwal,Male,BSC-CS,III B.Sc CS,3,ayaan.agarwal24093@college.edu,9800024093
24094,Ishita Menon,Female,BSC-CS,III B.Sc CS,3,ishita.menon24094@college.edu,9800024094
24095,Dhruv Kumar,Male,BSC-CS,III B.Sc CS,3,dhruv.kumar24095@college.edu,9800024095
24096,Myra Nair,Female,BSC-CS,III B.Sc CS,3,myra.nair24096@college.edu,9800024096
24097,Kabir Joshi,Male,BSC-CS,III B.Sc CS,3,kabir.joshi24097@college.edu,9800024097
24098,Anika Rao,Female,BSC-CS,III B.Sc CS,3,anika.rao24098@college.edu,9800024098
24099,Reyansh Choudhary,Male,BSC-CS,III B.Sc CS,3,reyansh.choudhary24099@college.edu,9800024099
24100,Sara Verma,Female,BSC-CS,III B.Sc CS,3,sara.verma24100@college.edu,9800024100
24101,Aarav Sharma,Male,BSC-CS,III B.Sc CS,3,aarav.sharma24101@college.edu,9800024101
24102,Aditi Singh,Female,BSC-CS,III B.Sc CS,3,aditi.singh24102@college.edu,9800024102
24103,Arjun Gupta,Male,BSC-CS,III B.Sc CS,3,arjun.gupta24103@college.edu,9800024103
24104,Ananya Mehta,Female,BSC-CS,III B.Sc CS,3,ananya.mehta24104@college.edu,9800024104
24105,Rohan Das,Male,BSC-CS,III B.Sc CS,3,rohan.das24105@college.edu,9800024105
24106,Priya Malhotra,Female,BSC-CS,III B.Sc CS,3,priya.malhotra24106@college.edu,9800024106
24107,Vikram Krishnan,Male,BSC-CS,III B.Sc CS,3,vikram.krishnan24107@college.edu,9800024107
24108,Sneha Patel,Female,BSC-CS,III B.Sc CS,3,sneha.patel24108@college.edu,9800024108
24109,Karan Reddy,Male,BSC-CS,III B.Sc CS,3,karan.reddy24109@college.edu,9800024109
24110,Meera Iyer,Female,BSC-CS,III B.Sc CS,3,meera.iyer24110@college.edu,9800024110
24111,Rahul Pillai,Male,BSC-CS,III B.Sc CS,3,rahul.pillai24111@college.edu,9800024111
24112,Divya Banerjee,Female,BSC-CS,III B.Sc CS,3,divya.banerjee24112@college.edu,9800024112
24113,Amit Agarwal,Male,BSC-CS,III B.Sc CS,3,amit.agarwal24113@college.edu,9800024113
24114,Pooja Menon,Female,BSC-CS,III B.Sc CS,3,pooja.menon24114@college.edu,9800024114
24115,Suresh Kumar,Male,BSC-CS,III B.Sc CS,3,suresh.kumar24115@college.edu,9800024115
24116,Kavya Nair,Female,BSC-MATH,II B.Sc Math,2,kavya.nair24116@college.edu,9800024116
24117,Nikhil Joshi,Male,BSC-MATH,II B.Sc Math,2,nikhil.joshi24117@college.edu,9800024117
24118,Riya Rao,Female,BSC-MATH,II B.Sc Math,2,riya.rao24118@college.edu,9800024118
24119,Varun Choudhary,Male,BSC-MATH,II B.Sc Math,2,varun.choudhary24119@college.edu,9800024119
24120,Isha Verma,Female,BSC-MATH,II B.Sc Math,2,isha.verma24120@college.edu,9800024120
24121,Siddharth Sharma,Male,BSC-MATH,II B.Sc Math,2,siddharth.sharma24121@college.edu,9800024121
24122,Neha Singh,Female,BSC-MATH,II B.Sc Math,2,neha.singh24122@college.edu,9800024122
24123,Abhishek Gupta,Male,BSC-MATH,II B.Sc Math,2,abhishek.gupta24123@college.edu,9800024123
24124,Shreya Mehta,Female,BSC-MATH,II B.Sc Math,2,shreya.mehta24124@college.edu,9800024124
24125,Manish Das,Male,BSC-MATH,II B.Sc Math,2,manish.das24125@college.edu,9800024125
24126,Anjali Malhotra,Female,BSC-MATH,II B.Sc Math,2,anjali.malhotra24126@college.edu,9800024126
24127,Deepak Krishnan,Male,BSC-MATH,II B.Sc Math,2,deepak.krishnan24127@college.edu,9800024127
24128,Swati Patel,Female,BSC-MATH,II B.Sc Math,2,swati.patel24128@college.edu,9800024128
24129,Rajesh Reddy,Male,BSC-MATH,II B.Sc Math,2,rajesh.reddy24129@college.edu,9800024129
24130,Lakshmi Iyer,Female,BSC-MATH,II B.Sc Math,2,lakshmi.iyer24130@college.edu,9800024130
24131,Karthik Pillai,Male,BSC-MATH,II B.Sc Math,2,karthik.pillai24131@college.edu,9800024131
24132,Harini Banerjee,Female,BSC-MATH,II B.Sc Math,2,harini.banerjee24132@college.edu,9800024132
24133,Gokul Agarwal,Male,BSC-MATH,II B.Sc Math,2,gokul.agarwal24133@college.edu,9800024133
24134,Nandini Menon,Female,BSC-MATH,II B.Sc Math,2,nandini.menon24134@college.edu,9800024134
24135,Mohan Kumar,Male,BSC-MATH,II B.Sc Math,2,mohan.kumar24135@college.edu,9800024135
24136,Swetha Nair,Female,BSC-MATH,II B.Sc Math,2,swetha.nair24136@college.edu,9800024136
24137,Jagan Joshi,Male,BSC-MATH,II B.Sc Math,2,jagan.joshi24137@college.edu,9800024137
24138,Keerthana Rao,Female,BSC-MATH,II B.Sc Math,2,keerthana.rao24138@college.edu,9800024138
24139,Pranav Choudhary,Male,BSC-MATH,II B.Sc Math,2,pranav.choudhary24139@college.edu,9800024139
24140,Sowmya Verma,Female,BSC-MATH,II B.Sc Math,2,sowmya.verma24140@college.edu,9800024140
24141,Yash Sharma,Male,BSC-MATH,II B.Sc Math,2,yash.sharma24141@college.edu,9800024141
24142,Tanvi Singh,Female,BSC-MATH,II B.Sc Math,2,tanvi.singh24142@college.edu,9800024142
24143,Ayaan Gupta,Male,BSC-MATH,II B.Sc Math,2,ayaan.gupta24143@college.edu,9800024143
24144,Ishita Mehta,Female,BSC-MATH,II B.Sc Math,2,ishita.mehta24144@college.edu,9800024144
24145,Dhruv Das,Male,BSC-MATH,II B.Sc Math,2,dhruv.das24145@college.edu,9800024145
24146,Myra Malhotra,Female,BSC-MATH,II B.Sc Math,2,myra.malhotra24146@college.edu,9800024146
24147,Kabir Krishnan,Male,BSC-MATH,II B.Sc Math,2,kabir.krishnan24147@college.edu,9800024147
24148,Anika Patel,Female,BSC-MATH,II B.Sc Math,2,anika.patel24148@college.edu,9800024148
24149,Reyansh Reddy,Male,BSC-MATH,II B.Sc Math,2,reyansh.reddy24149@college.edu,9800024149
24150,Sara Iyer,Female,BSC-MATH,II B.Sc Math,2,sara.iyer24150@college.edu,9800024150
24151,Aarav Pillai,Male,BSC-MATH,II B.Sc Math,2,aarav.pillai24151@college.edu,9800024151
24152,Aditi Banerjee,Female,BSC-MATH,II B.Sc Math,2,aditi.banerjee24152@college.edu,9800024152
24153,Arjun Agarwal,Male,BSC-MATH,II B.Sc Math,2,arjun.agarwal24153@college.edu,9800024153
24154,Ananya Menon,Female,BSC-MATH,II B.Sc Math,2,ananya.menon24154@college.edu,9800024154
24155,Rohan Kumar,Male,BSC-MATH,II B.Sc Math,2,rohan.kumar24155@college.edu,9800024155
24156,Priya Nair,Female,BSC-MATH,II B.Sc Math,2,priya.nair24156@college.edu,9800024156
24157,Vikram Joshi,Male,BSC-MATH,II B.Sc Math,2,vikram.joshi24157@college.edu,9800024157
24158,Sneha Rao,Female,BSC-MATH,II B.Sc Math,2,sneha.rao24158@college.edu,9800024158
24159,Karan Choudhary,Male,BSC-MATH,II B.Sc Math,2,karan.choudhary24159@college.edu,9800024159
24160,Meera Verma,Female,BSC-MATH,II B.Sc Math,2,meera.verma24160@college.edu,9800024160
24161,Rahul Sharma,Male,BSC-MATH,II B.Sc Math,2,rahul.sharma24161@college.edu,9800024161
24162,Divya Singh,Female,BSC-MATH,II B.Sc Math,2,divya.singh24162@college.edu,9800024162
24163,Amit Gupta,Male,BSC-MATH,II B.Sc Math,2,amit.gupta24163@college.edu,9800024163
24164,Pooja Mehta,Female,BSC-MATH,II B.Sc Math,2,pooja.mehta24164@college.edu,9800024164
24165,Suresh Das,Male,BSC-MATH,II B.Sc Math,2,suresh.das24165@college.edu,9800024165
24166,Kavya Malhotra,Female,BSC-MATH,III B.Sc Math,3,kavya.malhotra24166@college.edu,9800024166
24167,Nikhil Krishnan,Male,BSC-MATH,III B.Sc Math,3,nikhil.krishnan24167@college.edu,9800024167
24168,Riya Patel,Female,BSC-MATH,III B.Sc Math,3,riya.patel24168@college.edu,9800024168
24169,Varun Reddy,Male,BSC-MATH,III B.Sc Math,3,varun.reddy24169@college.edu,9800024169
24170,Isha Iyer,Female,BSC-MATH,III B.Sc Math,3,isha.iyer24170@college.edu,9800024170
24171,Siddharth Pillai,Male,BSC-MATH,III B.Sc Math,3,siddharth.pillai24171@college.edu,9800024171
24172,Neha Banerjee,Female,BSC-MATH,III B.Sc Math,3,neha.banerjee24172@college.edu,9800024172
24173,Abhishek Agarwal,Male,BSC-MATH,III B.Sc Math,3,abhishek.agarwal24173@college.edu,9800024173
24174,Shreya Menon,Female,BSC-MATH,III B.Sc Math,3,shreya.menon24174@college.edu,9800024174
24175,Manish Kumar,Male,BSC-MATH,III B.Sc Math,3,manish.kumar24175@college.edu,9800024175
24176,Anjali Nair,Female,BSC-MATH,III B.Sc Math,3,anjali.nair24176@college.edu,9800024176
24177,Deepak Joshi,Male,BSC-MATH,III B.Sc Math,3,deepak.joshi24177@college.edu,9800024177
24178,Swati Rao,Female,BSC-MATH,III B.Sc Math,3,swati.rao24178@college.edu,9800024178
24179,Rajesh Choudhary,Male,BSC-MATH,III B.Sc Math,3,rajesh.choudhary24179@college.edu,9800024179
24180,Lakshmi Verma,Female,BSC-MATH,III B.Sc Math,3,lakshmi.verma24180@college.edu,9800024180
24181,Karthik Sharma,Male,BSC-MATH,III B.Sc Math,3,karthik.sharma24181@college.edu,9800024181
24182,Harini Singh,Female,BSC-MATH,III B.Sc Math,3,harini.singh24182@college.edu,9800024182
24183,Gokul Gupta,Male,BSC-MATH,III B.Sc Math,3,gokul.gupta24183@college.edu,9800024183
24184,Nandini Mehta,Female,BSC-MATH,III B.Sc Math,3,nandini.mehta24184@college.edu,9800024184
24185,Mohan Das,Male,BSC-MATH,III B.Sc Math,3,mohan.das24185@college.edu,9800024185
24186,Swetha Malhotra,Female,BSC-MATH,III B.Sc Math,3,swetha.malhotra24186@college.edu,9800024186
24187,Jagan Krishnan,Male,BSC-MATH,III B.Sc Math,3,jagan.krishnan24187@college.edu,9800024187
24188,Keerthana Patel,Female,BSC-MATH,III B.Sc Math,3,keerthana.patel24188@college.edu,9800024188
24189,Pranav Reddy,Male,BSC-MATH,III B.Sc Math,3,pranav.reddy24189@college.edu,9800024189
24190,Sowmya Iyer,Female,BSC-MATH,III B.Sc Math,3,sowmya.iyer24190@college.edu,9800024190
24191,Yash Pillai,Male,BSC-MATH,III B.Sc Math,3,yash.pillai24191@college.edu,9800024191
24192,Tanvi Banerjee,Female,BSC-MATH,III B.Sc Math,3,tanvi.banerjee24192@college.edu,9800024192
24193,Ayaan Agarwal,Male,BSC-MATH,III B.Sc Math,3,ayaan.agarwal24193@college.edu,9800024193
24194,Ishita Menon,Female,BSC-MATH,III B.Sc Math,3,ishita.menon24194@college.edu,9800024194
24195,Dhruv Kumar,Male,BSC-MATH,III B.Sc Math,3,dhruv.kumar24195@college.edu,9800024195
24196,Myra Nair,Female,BSC-MATH,III B.Sc Math,3,myra.nair24196@college.edu,9800024196
24197,Kabir Joshi,Male,BSC-MATH,III B.Sc Math,3,kabir.joshi24197@college.edu,9800024197
24198,Anika Rao,Female,BSC-MATH,III B.Sc Math,3,anika.rao24198@college.edu,9800024198
24199,Reyansh Choudhary,Male,BSC-MATH,III B.Sc Math,3,reyansh.choudhary24199@college.edu,9800024199
24200,Sara Verma,Female,BSC-MATH,III B.Sc Math,3,sara.verma24200@college.edu,9800024200
24201,Aarav Sharma,Male,BSC-MATH,III B.Sc Math,3,aarav.sharma24201@college.edu,9800024201
24202,Aditi Singh,Female,BSC-MATH,III B.Sc Math,3,aditi.singh24202@college.edu,9800024202
24203,Arjun Gupta,Male,BSC-MATH,III B.Sc Math,3,arjun.gupta24203@college.edu,9800024203
24204,Ananya Mehta,Female,BSC-MATH,III B.Sc Math,3,ananya.mehta24204@college.edu,9800024204
24205,Rohan Das,Male,BSC-MATH,III B.Sc Math,3,rohan.das24205@college.edu,9800024205
24206,Priya Malhotra,Female,BSC-MATH,III B.Sc Math,3,priya.malhotra24206@college.edu,9800024206
24207,Vikram Krishnan,Male,BSC-MATH,III B.Sc Math,3,vikram.krishnan24207@college.edu,9800024207
24208,Sneha Patel,Female,BSC-MATH,III B.Sc Math,3,sneha.patel24208@college.edu,9800024208
24209,Karan Reddy,Male,BSC-MATH,III B.Sc Math,3,karan.reddy24209@college.edu,9800024209
24210,Meera Iyer,Female,BSC-MATH,III B.Sc Math,3,meera.iyer24210@college.edu,9800024210
24211,Rahul Pillai,Male,BA-ENG,II B.A English,2,rahul.pillai24211@college.edu,9800024211
24212,Divya Banerjee,Female,BA-ENG,II B.A English,2,divya.banerjee24212@college.edu,9800024212
24213,Amit Agarwal,Male,BA-ENG,II B.A English,2,amit.agarwal24213@college.edu,9800024213
24214,Pooja Menon,Female,BA-ENG,II B.A English,2,pooja.menon24214@college.edu,9800024214
24215,Suresh Kumar,Male,BA-ENG,II B.A English,2,suresh.kumar24215@college.edu,9800024215
24216,Kavya Nair,Female,BA-ENG,II B.A English,2,kavya.nair24216@college.edu,9800024216
24217,Nikhil Joshi,Male,BA-ENG,II B.A English,2,nikhil.joshi24217@college.edu,9800024217
24218,Riya Rao,Female,BA-ENG,II B.A English,2,riya.rao24218@college.edu,9800024218
24219,Varun Choudhary,Male,BA-ENG,II B.A English,2,varun.choudhary24219@college.edu,9800024219
24220,Isha Verma,Female,BA-ENG,II B.A English,2,isha.verma24220@college.edu,9800024220
24221,Siddharth Sharma,Male,BA-ENG,II B.A English,2,siddharth.sharma24221@college.edu,9800024221
24222,Neha Singh,Female,BA-ENG,II B.A English,2,neha.singh24222@college.edu,9800024222
24223,Abhishek Gupta,Male,BA-ENG,II B.A English,2,abhishek.gupta24223@college.edu,9800024223
24224,Shreya Mehta,Female,BA-ENG,II B.A English,2,shreya.mehta24224@college.edu,9800024224
24225,Manish Das,Male,BA-ENG,II B.A English,2,manish.das24225@college.edu,9800024225
24226,Anjali Malhotra,Female,BA-ENG,II B.A English,2,anjali.malhotra24226@college.edu,9800024226
24227,Deepak Krishnan,Male,BA-ENG,II B.A English,2,deepak.krishnan24227@college.edu,9800024227
24228,Swati Patel,Female,BA-ENG,II B.A English,2,swati.patel24228@college.edu,9800024228
24229,Rajesh Reddy,Male,BA-ENG,II B.A English,2,rajesh.reddy24229@college.edu,9800024229
24230,Lakshmi Iyer,Female,BA-ENG,II B.A English,2,lakshmi.iyer24230@college.edu,9800024230
24231,Karthik Pillai,Male,BA-ENG,II B.A English,2,karthik.pillai24231@college.edu,9800024231
24232,Harini Banerjee,Female,BA-ENG,II B.A English,2,harini.banerjee24232@college.edu,9800024232
24233,Gokul Agarwal,Male,BA-ENG,II B.A English,2,gokul.agarwal24233@college.edu,9800024233
24234,Nandini Menon,Female,BA-ENG,II B.A English,2,nandini.menon24234@college.edu,9800024234
24235,Mohan Kumar,Male,BA-ENG,II B.A English,2,mohan.kumar24235@college.edu,9800024235
24236,Swetha Nair,Female,BA-ENG,II B.A English,2,swetha.nair24236@college.edu,9800024236
24237,Jagan Joshi,Male,BA-ENG,II B.A English,2,jagan.joshi24237@college.edu,9800024237
24238,Keerthana Rao,Female,BA-ENG,II B.A English,2,keerthana.rao24238@college.edu,9800024238
24239,Pranav Choudhary,Male,BA-ENG,II B.A English,2,pranav.choudhary24239@college.edu,9800024239
24240,Sowmya Verma,Female,BA-ENG,II B.A English,2,sowmya.verma24240@college.edu,9800024240
24241,Yash Sharma,Male,BA-ENG,II B.A English,2,yash.sharma24241@college.edu,9800024241
24242,Tanvi Singh,Female,BA-ENG,II B.A English,2,tanvi.singh24242@college.edu,9800024242
24243,Ayaan Gupta,Male,BA-ENG,II B.A English,2,ayaan.gupta24243@college.edu,9800024243
24244,Ishita Mehta,Female,BA-ENG,II B.A English,2,ishita.mehta24244@college.edu,9800024244
24245,Dhruv Das,Male,BA-ENG,II B.A English,2,dhruv.das24245@college.edu,9800024245
24246,Myra Malhotra,Female,BA-ENG,II B.A English,2,myra.malhotra24246@college.edu,9800024246
24247,Kabir Krishnan,Male,BA-ENG,II B.A English,2,kabir.krishnan24247@college.edu,9800024247
24248,Anika Patel,Female,BA-ENG,II B.A English,2,anika.patel24248@college.edu,9800024248
24249,Reyansh Reddy,Male,BA-ENG,II B.A English,2,reyansh.reddy24249@college.edu,9800024249
24250,Sara Iyer,Female,BA-ENG,II B.A English,2,sara.iyer24250@college.edu,9800024250
24251,Aarav Pillai,Male,BA-ENG,III B.A English,3,aarav.pillai24251@college.edu,9800024251
24252,Aditi Banerjee,Female,BA-ENG,III B.A English,3,aditi.banerjee24252@college.edu,9800024252
24253,Arjun Agarwal,Male,BA-ENG,III B.A English,3,arjun.agarwal24253@college.edu,9800024253
24254,Ananya Menon,Female,BA-ENG,III B.A English,3,ananya.menon24254@college.edu,9800024254
24255,Rohan Kumar,Male,BA-ENG,III B.A English,3,rohan.kumar24255@college.edu,9800024255
24256,Priya Nair,Female,BA-ENG,III B.A English,3,priya.nair24256@college.edu,9800024256
24257,Vikram Joshi,Male,BA-ENG,III B.A English,3,vikram.joshi24257@college.edu,9800024257
24258,Sneha Rao,Female,BA-ENG,III B.A English,3,sneha.rao24258@college.edu,9800024258
24259,Karan Choudhary,Male,BA-ENG,III B.A English,3,karan.choudhary24259@college.edu,9800024259
24260,Meera Verma,Female,BA-ENG,III B.A English,3,meera.verma24260@college.edu,9800024260
24261,Rahul Sharma,Male,BA-ENG,III B.A English,3,rahul.sharma24261@college.edu,9800024261
24262,Divya Singh,Female,BA-ENG,III B.A English,3,divya.singh24262@college.edu,9800024262
24263,Amit Gupta,Male,BA-ENG,III B.A English,3,amit.gupta24263@college.edu,9800024263
24264,Pooja Mehta,Female,BA-ENG,III B.A English,3,pooja.mehta24264@college.edu,9800024264
24265,Suresh Das,Male,BA-ENG,III B.A English,3,suresh.das24265@college.edu,9800024265
24266,Kavya Malhotra,Female,BA-ENG,III B.A English,3,kavya.malhotra24266@college.edu,9800024266
24267,Nikhil Krishnan,Male,BA-ENG,III B.A English,3,nikhil.krishnan24267@college.edu,9800024267
